tailNum,year,carrier,model,aircraftType,engineType,manufacturer
N612AS,1999,AS,737-790,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N638JB,2006,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N18611,1994,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N454UA,1999,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N3AMAA,NULL,AA,,,,
N3AEAA,NULL,AA,,,,
N785AS,1997,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N621SW,1996,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N287AA,1985,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N465AA,NULL,AA,,,,
N266AA,1985,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N778AS,1994,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N4UBAA,NULL,AA,,,,
N227AA,1983,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N910FR,2002,F9,A319-112,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N534US,1988,NW,757-251,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N717SA,1998,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N3DJAA,NULL,AA,,,,
N3CPAA,NULL,AA,,,,
N5CCAA,NULL,AA,,,,
N5FKAA,NULL,AA,,,,
N5CYAA,NULL,AA,,,,
N48127,1998,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N766NC,1977,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N214AA,1983,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N505AA,1989,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N208AA,1983,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N457AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N76269,2001,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N511SW,1991,WN,737-5H4,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N469AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N524AA,NULL,AA,,,,
N554AA,1991,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N320AS,2003,AS,737-990,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N17233,1999,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N76254,2000,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N392SW,1994,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N517AA,NULL,AA,,,,
